dateTime,download,upload,device
Tue 15 Dec 14:00:01  2020,16.49,22.99,cowpi-0abe
Tue 15 Dec 14:30:01  2020,67.17,32.83,cowpi-0abe
Tue 15 Dec 15:00:01  2020,76.2,30.47,cowpi-0abe
Tue 15 Dec 15:30:01  2020,4.14,23.47,cowpi-0abe
Tue 15 Dec 16:00:01  2020,80.73,25.31,cowpi-0abe
Tue 15 Dec 16:30:01  2020,32.04,22.03,cowpi-0abe
Tue 15 Dec 17:00:01  2020,77.44,24.22,cowpi-0abe
Tue 15 Dec 17:30:01  2020,62.46,23.8,cowpi-0abe
Tue 15 Dec 18:00:01  2020,10.34,30.86,cowpi-0abe
Tue 15 Dec 18:30:02  2020,85.73,25.04,cowpi-0abe
Tue 15 Dec 19:00:01  2020,59.04,25.57,cowpi-0abe
Tue 15 Dec 19:30:01  2020,5.23,31.47,cowpi-0abe
Tue 15 Dec 20:00:01  2020,22.5,27.83,cowpi-0abe
Tue 15 Dec 20:30:01  2020,3.39,25.05,cowpi-0abe
Tue 15 Dec 21:00:01  2020,76.77,23.1,cowpi-0abe
Tue 15 Dec 21:30:01  2020,5.74,26.17,cowpi-0abe
Tue 15 Dec 22:00:01  2020,63.15,18.77,cowpi-0abe
Tue 15 Dec 22:30:01  2020,5.06,18.79,cowpi-0abe
Tue 15 Dec 23:00:01  2020,44.2,26.39,cowpi-0abe
Tue 15 Dec 23:30:01  2020,4.61,28.51,cowpi-0abe
Wed 16 Dec 00:00:02  2020,58.5,14.5,cowpi-0abe
Wed 16 Dec 00:30:01  2020,8.89,23.54,cowpi-0abe
Wed 16 Dec 01:00:01  2020,78.56,18.49,cowpi-0abe
Wed 16 Dec 01:30:01  2020,70.9,22.39,cowpi-0abe
Wed 16 Dec 02:00:01  2020,68.94,24.82,cowpi-0abe
Wed 16 Dec 02:30:01  2020,62.31,22.15,cowpi-0abe
Wed 16 Dec 03:00:01  2020,66.62,27.16,cowpi-0abe
Wed 16 Dec 03:30:01  2020,69.16,25.68,cowpi-0abe
Wed 16 Dec 04:00:01  2020,43.93,26.09,cowpi-0abe
Wed 16 Dec 04:30:01  2020,8.59,29.07,cowpi-0abe
Wed 16 Dec 05:00:01  2020,77.64,21.39,cowpi-0abe
Wed 16 Dec 05:30:01  2020,56.39,26.55,cowpi-0abe
Wed 16 Dec 06:00:02  2020,57.22,29.03,cowpi-0abe
Wed 16 Dec 06:30:01  2020,24.68,22.19,cowpi-0abe
Wed 16 Dec 07:00:01  2020,75.05,19.21,cowpi-0abe
Wed 16 Dec 07:30:01  2020,83.8,25.54,cowpi-0abe
Wed 16 Dec 08:00:01  2020,60.38,29.01,cowpi-0abe
Wed 16 Dec 08:30:01  2020,7.18,22.92,cowpi-0abe
Wed 16 Dec 09:00:02  2020,28.67,22.57,cowpi-0abe
Wed 16 Dec 09:30:01  2020,14.14,29.19,cowpi-0abe
Wed 16 Dec 10:00:01  2020,14.44,26.88,cowpi-0abe
Wed 16 Dec 10:30:01  2020,5.49,30.05,cowpi-0abe
Wed 16 Dec 11:00:01  2020,67.1,26.29,cowpi-0abe
Wed 16 Dec 11:30:01  2020,7.1,24.36,cowpi-0abe
Wed 16 Dec 12:00:02  2020,81.92,26.87,cowpi-0abe
Wed 16 Dec 12:30:01  2020,84.03,24.74,cowpi-0abe
Wed 16 Dec 13:00:01  2020,82.58,23.93,cowpi-0abe
Wed 16 Dec 13:30:01  2020,5.22,17.81,cowpi-0abe
Wed 16 Dec 14:00:01  2020,8.85,16.25,cowpi-0abe
Wed 16 Dec 14:30:02  2020,13.75,13.89,cowpi-0abe
Wed 16 Dec 15:00:01  2020,7.57,14.64,cowpi-0abe
Wed 16 Dec 15:30:01  2020,7.07,9.89,cowpi-0abe
Wed 16 Dec 16:00:01  2020,66.87,23.76,cowpi-0abe
Wed 16 Dec 16:30:01  2020,3.23,13.82,cowpi-0abe
Wed 16 Dec 17:00:01  2020,2.33,15.77,cowpi-0abe
Wed 16 Dec 17:30:01  2020,68.89,21.96,cowpi-0abe
Wed 16 Dec 18:00:01  2020,2.2,11,cowpi-0abe
Wed 16 Dec 18:30:01  2020,6.15,6.18,cowpi-0abe
Wed 16 Dec 19:00:01  2020,2.96,16.36,cowpi-0abe
Wed 16 Dec 19:30:01  2020,73.23,22.27,cowpi-0abe
Wed 16 Dec 20:00:01  2020,2.53,12.33,cowpi-0abe
Wed 16 Dec 20:30:01  2020,3.32,12.07,cowpi-0abe
Wed 16 Dec 21:00:01  2020,3.15,12.12,cowpi-0abe
Wed 16 Dec 21:30:01  2020,5.29,15.78,cowpi-0abe
Wed 16 Dec 22:00:01  2020,30.68,22.16,cowpi-0abe
Wed 16 Dec 22:30:01  2020,12.32,13.58,cowpi-0abe
Wed 16 Dec 23:00:01  2020,28.27,23.83,cowpi-0abe
Wed 16 Dec 23:30:01  2020,14.5,20.49,cowpi-0abe
Thu 17 Dec 00:00:01  2020,84.4,33.48,cowpi-0abe
Thu 17 Dec 00:30:01  2020,85.21,28.92,cowpi-0abe
Thu 17 Dec 01:00:01  2020,36.39,0,cowpi-0abe
Thu 17 Dec 01:30:01  2020,,,cowpi-0abe
Thu 17 Dec 02:00:01  2020,,,cowpi-0abe
Thu 17 Dec 02:30:01  2020,,,cowpi-0abe
Thu 17 Dec 03:00:01  2020,,,cowpi-0abe
Thu 17 Dec 03:30:01  2020,,,cowpi-0abe
Thu 17 Dec 04:00:01  2020,,,cowpi-0abe
Thu 17 Dec 04:30:01  2020,,,cowpi-0abe
Thu 17 Dec 05:00:01  2020,,,cowpi-0abe
Thu 17 Dec 05:30:01  2020,,,cowpi-0abe
Thu 17 Dec 06:00:01  2020,,,cowpi-0abe
Thu 17 Dec 06:30:01  2020,,,cowpi-0abe
Thu 17 Dec 07:00:01  2020,,,cowpi-0abe
Thu 17 Dec 07:30:01  2020,,,cowpi-0abe
Thu 17 Dec 08:00:01  2020,16.84,16.24,cowpi-0abe
Thu 17 Dec 08:30:01  2020,62.19,26.99,cowpi-0abe
Thu 17 Dec 09:00:01  2020,80.31,18.88,cowpi-0abe
Thu 17 Dec 09:30:01  2020,32.61,22.18,cowpi-0abe
Thu 17 Dec 10:00:01  2020,43.7,22.94,cowpi-0abe
Thu 17 Dec 10:30:01  2020,19.86,21.79,cowpi-0abe
Thu 17 Dec 11:00:01  2020,62.55,19.88,cowpi-0abe
Thu 17 Dec 11:30:01  2020,24.73,18.66,cowpi-0abe
Thu 17 Dec 12:00:01  2020,31.86,25.27,cowpi-0abe
Thu 17 Dec 12:30:01  2020,1.39,15.8,cowpi-0abe
Thu 17 Dec 13:00:01  2020,1.32,9.82,cowpi-0abe
Thu 17 Dec 13:30:01  2020,2.86,14.13,cowpi-0abe
