Date,Download,Upload
Fri 18 Dec 02:30:01 IST 2020,,
Fri 18 Dec 03:00:01 IST 2020,,
Fri 18 Dec 03:30:01 IST 2020,,
Fri 18 Dec 04:00:01 IST 2020,,
Fri 18 Dec 04:30:01 IST 2020,,
Fri 18 Dec 05:00:02 IST 2020,,
Fri 18 Dec 05:30:01 IST 2020,,
Fri 18 Dec 06:00:01 IST 2020,,
Fri 18 Dec 06:30:01 IST 2020,,
Fri 18 Dec 07:00:01 IST 2020,,
Fri 18 Dec 07:30:01 IST 2020,40.67,19.63
Fri 18 Dec 08:00:01 IST 2020,31.54,17.09
Fri 18 Dec 08:30:01 IST 2020,34.48,16.15
Fri 18 Dec 09:00:01 IST 2020,24.5,21.59
Fri 18 Dec 09:30:01 IST 2020,18.22,16.39
Fri 18 Dec 10:00:01 IST 2020,21.15,19.87
Fri 18 Dec 10:30:01 IST 2020,23.62,21.49
Fri 18 Dec 11:00:01 IST 2020,19.49,21.38
Fri 18 Dec 11:30:01 IST 2020,22.16,16.96
Fri 18 Dec 12:00:01 IST 2020,,
Fri 18 Dec 12:30:01 IST 2020,,
Fri 18 Dec 13:00:01 IST 2020,,
Fri 18 Dec 13:30:02 IST 2020,,
Fri 18 Dec 14:00:01 IST 2020,,
Fri 18 Dec 14:30:01 IST 2020,,
Fri 18 Dec 15:00:01 IST 2020,,
Fri 18 Dec 15:30:01 IST 2020,,
Fri 18 Dec 16:00:01 IST 2020,,
Fri 18 Dec 16:30:02 IST 2020,,
Fri 18 Dec 17:00:01 IST 2020,,
Fri 18 Dec 17:30:01 IST 2020,,
Fri 18 Dec 18:00:01 IST 2020,,
Fri 18 Dec 18:30:01 IST 2020,,
Fri 18 Dec 19:00:01 IST 2020,,
Fri 18 Dec 19:30:01 IST 2020,,
Fri 18 Dec 20:00:01 IST 2020,,
Fri 18 Dec 20:30:01 IST 2020,,
Fri 18 Dec 21:00:01 IST 2020,,
Fri 18 Dec 21:30:01 IST 2020,,
Fri 18 Dec 22:00:01 IST 2020,,
Fri 18 Dec 22:30:01 IST 2020,,
Fri 18 Dec 23:00:01 IST 2020,,
Fri 18 Dec 23:30:01 IST 2020,,
Sat 19 Dec 00:00:01 IST 2020,,
Sat 19 Dec 00:30:01 IST 2020,,
Sat 19 Dec 01:00:01 IST 2020,,
Sat 19 Dec 01:30:01 IST 2020,,
Sat 19 Dec 02:00:01 IST 2020,,
Sat 19 Dec 02:30:01 IST 2020,,
Sat 19 Dec 03:00:01 IST 2020,,
Sat 19 Dec 03:30:01 IST 2020,,
Sat 19 Dec 04:00:01 IST 2020,,
Sat 19 Dec 04:30:01 IST 2020,,
Sat 19 Dec 05:00:02 IST 2020,,
Sat 19 Dec 05:30:01 IST 2020,,
Sat 19 Dec 06:00:01 IST 2020,,
Sat 19 Dec 06:30:01 IST 2020,,
Sat 19 Dec 07:00:01 IST 2020,,
Sat 19 Dec 07:30:01 IST 2020,,
Sat 19 Dec 08:00:01 IST 2020,,
Sat 19 Dec 08:30:01 IST 2020,,
Sat 19 Dec 09:00:01 IST 2020,,
Sat 19 Dec 09:30:01 IST 2020,,
Sat 19 Dec 10:00:02 IST 2020,,
Sat 19 Dec 10:30:01 IST 2020,,
Sat 19 Dec 11:00:01 IST 2020,,
Sat 19 Dec 11:30:01 IST 2020,,
Sat 19 Dec 12:00:01 IST 2020,,
Sat 19 Dec 12:30:01 IST 2020,,
Sat 19 Dec 13:00:01 IST 2020,,
Sat 19 Dec 13:30:01 IST 2020,,
Sat 19 Dec 14:00:01 IST 2020,,
Sat 19 Dec 14:30:01 IST 2020,,
Sat 19 Dec 15:00:01 IST 2020,,
Sat 19 Dec 15:30:01 IST 2020,,
Sat 19 Dec 16:00:01 IST 2020,,
Sat 19 Dec 16:30:01 IST 2020,,
Sat 19 Dec 17:00:01 IST 2020,,
Sat 19 Dec 17:30:01 IST 2020,,
Sat 19 Dec 18:00:01 IST 2020,,
Sat 19 Dec 18:30:01 IST 2020,,
Sat 19 Dec 19:00:01 IST 2020,,
Sat 19 Dec 19:30:01 IST 2020,,
Sat 19 Dec 20:00:01 IST 2020,,
Sat 19 Dec 20:30:01 IST 2020,,
Sat 19 Dec 21:00:01 IST 2020,,
Sat 19 Dec 21:30:01 IST 2020,33.77,26.4
Sat 19 Dec 22:00:01 IST 2020,47.03,24.54
Sat 19 Dec 22:30:01 IST 2020,34.1,27.2
Sat 19 Dec 23:00:01 IST 2020,15,25.62
Sat 19 Dec 23:30:01 IST 2020,,
Sun 20 Dec 00:00:01 IST 2020,,
Sun 20 Dec 00:30:01 IST 2020,,
Sun 20 Dec 01:00:01 IST 2020,,
Sun 20 Dec 01:30:02 IST 2020,,
Sun 20 Dec 02:00:01 IST 2020,,
Sun 20 Dec 02:30:01 IST 2020,,
Sun 20 Dec 03:00:01 IST 2020,,
Sun 20 Dec 03:30:01 IST 2020,,
Sun 20 Dec 04:00:01 IST 2020,,
Sun 20 Dec 04:30:01 IST 2020,,
Sun 20 Dec 05:00:01 IST 2020,,
Sun 20 Dec 05:30:01 IST 2020,,
Sun 20 Dec 06:00:01 IST 2020,,
Sun 20 Dec 06:30:01 IST 2020,,
Sun 20 Dec 07:00:01 IST 2020,,
Sun 20 Dec 07:30:01 IST 2020,,
Sun 20 Dec 08:00:01 IST 2020,,
Sun 20 Dec 08:30:01 IST 2020,,
Sun 20 Dec 09:00:01 IST 2020,,
Sun 20 Dec 09:30:01 IST 2020,,
Sun 20 Dec 10:00:01 IST 2020,,
Sun 20 Dec 10:30:02 IST 2020,,
Sun 20 Dec 11:00:01 IST 2020,,
Sun 20 Dec 11:30:01 IST 2020,,
Sun 20 Dec 12:00:01 IST 2020,,
Sun 20 Dec 12:30:01 IST 2020,,
Sun 20 Dec 13:00:01 IST 2020,,
Sun 20 Dec 13:30:02 IST 2020,,
Sun 20 Dec 14:00:01 IST 2020,,
Sun 20 Dec 14:30:01 IST 2020,,
Sun 20 Dec 15:00:01 IST 2020,,
Sun 20 Dec 15:30:01 IST 2020,,
Sun 20 Dec 16:00:01 IST 2020,29.43,20.7
Sun 20 Dec 16:30:01 IST 2020,18.64,17.57
Sun 20 Dec 17:00:01 IST 2020,18.61,19.3
Sun 20 Dec 17:30:01 IST 2020,33.34,0.58
Sun 20 Dec 18:00:01 IST 2020,24.79,19.08
Sun 20 Dec 18:30:01 IST 2020,14.39,2.06
Sun 20 Dec 19:00:01 IST 2020,0.13,7.87
Sun 20 Dec 19:30:01 IST 2020,25.4,23.98
